東京地方裁判所　　刑事第２１部,2014年03月12日　午前9時30分　東京地方裁判所1番交付所,住居侵入，傷害　平成２５年刑（わ）第２９７７号,〈抽選〉当日午前９時３０分までに指定場所に来られた方を対象に抽選します。開廷時間は午前１０時００分です。
東京地方裁判所　　刑事第１７部,2014年03月12日　午後2時0分　東京地方裁判所1番交付所,刑事訴訟法違反　平成２５年特（わ）第２０９号,〈抽選〉当日午後２時００分までに指定場所に来られた方を対象に抽選します。開廷時間は午後２時３０分です。
